date	en_url	image	en_title	ru_title	ru_url	
1906-12-10	https://en.wikipedia.org/wiki/Nobel_Peace_Prize		Theodore Roosevelt receives the Nobel Peace Prize	Теодор Рузвельт получает Нобелевскую премию мира	https://ru.wikipedia.org/wiki/Рузвельт,_Теодор
1910-08-27	https://en.wikipedia.org/wiki/Thomas_Edison		First public demonstration of talking motion pictures by Thomas Edison	Демонстрация звукового кино Томасом Эдисоном	https://ru.wikipedia.org/wiki/Эдисон,_Томас_Алва
1909-02-20	https://en.wikipedia.org/wiki/Futurist_Manifesto	https://upload.wikimedia.org/wikipedia/commons/1/1e/Manifestofuturismo.jpg	Publication of the Futurist Manifesto by Filippo Tommaso Marinetti	Публикация манифеста футуризма	https://ru.wikipedia.org/wiki/Манифест_футуризма
1909-11-15	https://en.wikipedia.org/wiki/Wright_brothers	https://upload.wikimedia.org/wikipedia/commons/5/52/Wright-Fort_Myer.jpg	First public flight demonstration of the Wright brothers in Europe	Первые публичные полёты братьев Райт в Европе	https://ru.wikipedia.org/wiki/Братья_Райт
1908-09-27	https://en.wikipedia.org/wiki/Ford_Model_T		First Ford Model T automobile produced	Начало производства автомобиля Ford Model T	https://ru.wikipedia.org/wiki/Ford_Model_T
1908-07-26	https://en.wikipedia.org/wiki/Federal_Bureau_of_Investigation		Creation of the Bureau of Investigation (later FBI)	Создание Бюро расследований США	https://ru.wikipedia.org/wiki/Федеральное_бюро_расследований
1908-08-08	https://en.wikipedia.org/wiki/Scouting	https://upload.wikimedia.org/wikipedia/commons/a/ac/BP_and_future_Scouts_at_Brownsea.jpg	Founding of the Scout movement by Robert Baden-Powell	Создание скаутского движения	https://ru.wikipedia.org/wiki/Скаутское_движение
1907-03-22	https://en.wikipedia.org/wiki/Lumi%C3%A8re_brothers	https://upload.wikimedia.org/wikipedia/commons/9/93/Fratelli_Lumiere.jpg	Auguste and Louis Lumière present early color photography experiments	Эксперименты братьев Люмьер с цветной фотографией	https://ru.wikipedia.org/wiki/Братья_Люмьер
1906-04-18	https://en.wikipedia.org/wiki/1906_San_Francisco_earthquake		San Francisco earthquake and fire	Землетрясение в Сан-Франциско	https://ru.wikipedia.org/wiki/Землетрясение_в_Сан-Франциско_(1906)
1906-07-22	https://en.wikipedia.org/wiki/Alfred_Dreyfus		Alfred Dreyfus officially rehabilitated in France	Реабилитация Альфреда Дрейфуса	https://ru.wikipedia.org/wiki/Дело_Дрейфуса
1905-12-09	https://en.wikipedia.org/wiki/Moscow_uprising_of_1905		Moscow armed uprising during the Russian Revolution of 1905	Декабрьское восстание	https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8C%D1%81%D0%BA%D0%BE%D0%B5_%D0%B2%D0%BE%D1%81%D1%81%D1%82%D0%B0%D0%BD%D0%B8%D0%B5_%D0%B2_%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5_(1905)
1905-05-01	https://en.wikipedia.org/wiki/Las_Vegas		Founding of Las Vegas in Nevada	Основание города Лас-Вегас	https://ru.wikipedia.org/wiki/Лас-Вегас
1905-06-27	https://en.wikipedia.org/wiki/Russian_battleship_Potemkin		Mutiny on the battleship Potemkin	Восстание на броненосце «Потёмкин»	https://ru.wikipedia.org/wiki/Восстание_на_броненосце_«Потёмкин»
1904-07-01	https://en.wikipedia.org/wiki/1904_Summer_Olympics		Opening of the Summer Olympic Games in St. Louis	Открытие летних Олимпийских игр в Сент-Луисе	https://ru.wikipedia.org/wiki/Летние_Олимпийские_игры_1904
1903-06-16	https://en.wikipedia.org/wiki/Ford_Motor_Company	https://upload.wikimedia.org/wikipedia/commons/8/82/Henry_Ford_at_Edison%27s_home_in_Ft._Myers_Florida_1914_detail_LC-LC-USZ62-131044.png	Founding of the Ford Motor Company	Основание компании Ford Motor Company	https://ru.wikipedia.org/wiki/Ford
