date	en_url	image	en_title	ru_title	ru_url	
1959-01-01	https://en.wikipedia.org/wiki/Cuban_Revolution		Cuban Revolution triumphs	Победа Кубинской революции	https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B1%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D1%80%D0%B5%D0%B2%D0%BE%D0%BB%D1%8E%D1%86%D0%B8%D1%8F
1959-03-10	https://en.wikipedia.org/wiki/1959_Tibetan_uprising		Tibetan uprising against Chinese rule begins	Тибетское восстание 1959 года	https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D0%B1%D0%B5%D1%82%D1%81%D0%BA%D0%BE%D0%B5_%D0%B2%D0%BE%D1%81%D1%81%D1%82%D0%B0%D0%BD%D0%B8%D0%B5_(1959)
1959-08-21	https://en.wikipedia.org/wiki/Hawaii		Hawaii becomes the 50th U.S. state	Гавайи становятся 50-м штатом США	https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B2%D0%B0%D0%B9%D0%B8
1959-09-14	https://en.wikipedia.org/wiki/Luna_2		Luna 2 becomes the first spacecraft to reach the Moon	Аппарат «Луна-2» впервые достигает поверхности Луны	https://ru.wikipedia.org/wiki/%D0%9B%D1%83%D0%BD%D0%B0-2
1959-01-01	https://en.wikipedia.org/wiki/Great_Chinese_Famine	https://upload.wikimedia.org/wikipedia/commons/2/29/People%27s_commune_canteen.jpg	Beginning of the Great Chinese Famine	Начало Великого китайского голода	https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%B8%D0%B9_%D0%BA%D0%B8%D1%82%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%B3%D0%BE%D0%BB%D0%BE%D0%B4
1958-01-01	https://en.wikipedia.org/wiki/Great_Leap_Forward	https://upload.wikimedia.org/wikipedia/ru/e/e6/Yi_Gang_Wei_Gang_Quan_Mian_Yue_Jin.jpg	China launches the Great Leap Forward	Начало политики «Большого скачка» в Китае	https://ru.wikipedia.org/wiki/Большой_скачок
1958-01-31	https://en.wikipedia.org/wiki/Explorer_1		Explorer 1 becomes the first U.S. satellite	Запуск первого американского спутника Explorer 1	https://ru.wikipedia.org/wiki/Эксплорер-1
1958-02-01	https://en.wikipedia.org/wiki/United_Arab_Republic		Formation of the United Arab Republic	Создание Объединённой Арабской Республики	https://ru.wikipedia.org/wiki/Объединённая_Арабская_Республика
1958-07-14	https://en.wikipedia.org/wiki/14_July_Revolution		Iraqi monarchy overthrown in the July 14 Revolution	Июльская революция в Ираке и свержение монархии	https://ru.wikipedia.org/wiki/Революция_14_июля
1958-09-15	https://en.wikipedia.org/wiki/IBM_7090		Introduction of the IBM 7090 transistorized computer	Представлен транзисторный компьютер IBM 7090	https://ru.wikipedia.org/wiki/IBM_7090
