date	en_url	image	en_title	ru_title	ru_url
1980-01-04	https://en.wikipedia.org/wiki/Operation_Cyclone		Operation Cyclone	Начало операции «Циклон» (поддержка моджахедов в Афганистане)	https://ru.wikipedia.org/wiki/%D0%9E%D0%BF%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D1%8F_%C2%AB%D0%A6%D0%B8%D0%BA%D0%BB%D0%BE%D0%BD%C2%BB
1980-07-19	https://en.wikipedia.org/wiki/1980_Moscow_Olympics	https://upload.wikimedia.org/wikipedia/commons/c/c1/Emblem_of_the_1980_Summer_Olympics.svg	1980 Moscow Olympics	Открытие Олимпийских игр в Москве (бойкот Запада)	https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D1%82%D0%BD%D0%B8%D0%B5_%D0%9E%D0%BB%D0%B8%D0%BC%D0%BF%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B5_%D0%B8%D0%B3%D1%80%D1%8B_1980
1980-08-31	https://en.wikipedia.org/wiki/Solidarity_(Polish_trade_union)	https://upload.wikimedia.org/wikipedia/commons/8/8c/Strajk_sierpniowy_w_Stoczni_Gda%C5%84skiej_im._Lenina_34.jpg	Solidarity	Создание профсоюза «Солидарность» в Польше	https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4%D0%B0%D1%80%D0%BD%D0%BE%D1%81%D1%82%D1%8C
1980-09-22	https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War		Iran–Iraq War	Начало ирано-иракской войны	https://ru.wikipedia.org/wiki/%D0%98%D1%80%D0%B0%D0%BD%D0%BE-%D0%B8%D1%80%D0%B0%D0%BA%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
1980-11-04	https://en.wikipedia.org/wiki/1980_United_States_presidential_election	https://upload.wikimedia.org/wikipedia/commons/d/df/Official_Portrait_of_President_Reagan_1981-cropped.jpg	1980 United States presidential election	Победа Рональда Рейгана на выборах президента США	https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82%D1%81%D0%BA%D0%B8%D0%B5_%D0%B2%D1%8B%D0%B1%D0%BE%D1%80%D1%8B_%D0%B2_%D0%A1%D0%A8%D0%90_(1980)
1981-05-13	https://en.wikipedia.org/wiki/Attempted_assassination_of_Pope_John_Paul_II		Attempted assassination of Pope John Paul II	Покушение на Папу Иоанна Павла II	https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BD%D0%B0_%D0%98%D0%BE%D0%B0%D0%BD%D0%BD%D0%B0_%D0%9F%D0%B0%D0%B2%D0%BB%D0%B0_II
1981-06-07	https://en.wikipedia.org/wiki/Operation_Opera	https://upload.wikimedia.org/wikipedia/commons/5/58/OsirakLocation.gif	Operation Opera	Израильская операция против ядерного реактора в Ираке (Операция «Опера»)	https://ru.wikipedia.org/wiki/%D0%9E%D0%BF%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D1%8F_%C2%AB%D0%9E%D0%BF%D0%B5%D1%80%D0%B0%C2%BB
1981-12-13	https://en.wikipedia.org/wiki/Martial_law_in_Poland		Martial law in Poland	Введение военного положения в Польше	https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5_%D0%BF%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B2_%D0%9F%D0%BE%D0%BB%D1%8C%D1%88%D0%B5_(1981%E2%80%931983)
1989-02-15	https://en.wikipedia.org/wiki/Soviet%E2%80%93Afghan_War		Soviet–Afghan War	Завершён вывод советских войск из Афганистана	https://ru.wikipedia.org/wiki/%D0%90%D1%84%D0%B3%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0_(1979%E2%80%931989)
1989-06-04	https://en.wikipedia.org/wiki/1989_Tiananmen_Square_protests_and_massacre		1989 Tiananmen Square protests and massacre	Подавление протестов на площади Тяньаньмэнь	https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%B1%D1%8B%D1%82%D0%B8%D1%8F_%D0%BD%D0%B0_%D0%BF%D0%BB%D0%BE%D1%89%D0%B0%D0%B4%D0%B8_%D0%A2%D1%8F%D0%BD%D1%8C%D0%B0%D0%BD%D1%8C%D0%BC%D1%8D%D0%BD%D1%8C_(1989)
