date	en_url	image	en_title	ru_title	ru_url
1989-03-12	https://en.wikipedia.org/wiki/World_Wide_Web		World Wide Web	Предложена концепция Всемирной паутины (World Wide Web)	https://ru.wikipedia.org/wiki/%D0%92%D1%81%D0%B5%D0%BC%D0%B8%D1%80%D0%BD%D0%B0%D1%8F_%D0%BF%D0%B0%D1%83%D1%82%D0%B8%D0%BD%D0%B0
1989-11-20	https://en.wikipedia.org/wiki/Convention_on_the_Rights_of_the_Child		Convention on the Rights of the Child	Принята Конвенция о правах ребёнка	https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D0%B2%D0%B5%D0%BD%D1%86%D0%B8%D1%8F_%D0%BE_%D0%BF%D1%80%D0%B0%D0%B2%D0%B0%D1%85_%D1%80%D0%B5%D0%B1%D1%91%D0%BD%D0%BA%D0%B0
1987-12-08_2	https://en.wikipedia.org/wiki/First_Intifada		First Intifada	Начало Первой интифады	https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D0%B0%D1%8F_%D0%B8%D0%BD%D1%82%D0%B8%D1%84%D0%B0%D0%B4%D0%B0
1987-07-29	https://en.wikipedia.org/wiki/Nintendo_Entertainment_System		Nintendo Entertainment System	Nintendo Entertainment System выходит на европейский рынок	https://ru.wikipedia.org/wiki/Nintendo_Entertainment_System
1986-02-22	https://en.wikipedia.org/wiki/People_Power_Revolution	https://upload.wikimedia.org/wikipedia/en/3/3b/EDSA_Revolution_pic1.jpg	People Power Revolution	«Жёлтая революция» на Филиппинах (People Power Revolution)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B2%D0%BE%D0%BB%D1%8E%D1%86%D0%B8%D1%8F_%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BB%D0%B0%D1%81%D1%82%D0%B8_(%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF%D0%BF%D0%B8%D0%BD%D1%8B)
1985-06-06	https://en.wikipedia.org/wiki/Tetris		Tetris	Создана игра «Тетрис»	https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D1%82%D1%80%D0%B8%D1%81
1983-09-22	https://en.wikipedia.org/wiki/TGV		TGV	Открытие первой линии скоростного поезда TGV (Париж—Лион)	https://ru.wikipedia.org/wiki/TGV
1983-01-01	https://en.wikipedia.org/wiki/Internet_protocol_suite	https://upload.wikimedia.org/wikipedia/commons/c/c4/IP_stack_connections.svg	Internet protocol suite	ARPANET переходит на протокол TCP/IP (рождение современного интернета)	https://ru.wikipedia.org/wiki/TCP/IP
1981-08-12	https://en.wikipedia.org/wiki/IBM_Personal_Computer		IBM Personal Computer	Презентация IBM PC	https://ru.wikipedia.org/wiki/IBM_PC
1981-08-01	https://en.wikipedia.org/wiki/CNN		CNN	Начало вещания телеканала CNN	https://ru.wikipedia.org/wiki/CNN
1982-09-16	https://en.wikipedia.org/wiki/Sabra_and_Shatila_massacre		Sabra and Shatila massacre	Резня в лагерях Сабра и Шатила	https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B1%D1%80%D0%B0_%D0%B8_%D0%A8%D0%B0%D1%82%D0%B8%D0%BB%D0%B0
1984-01-24	https://en.wikipedia.org/wiki/Macintosh_128K		Macintosh 128K	Презентация компьютера Apple Macintosh	https://ru.wikipedia.org/wiki/Macintosh_128K
1984-07-10	https://en.wikipedia.org/wiki/Neuromancer	https://upload.wikimedia.org/wikipedia/ru/6/6f/%D0%9D%D0%B5%D0%B9%D1%80%D0%BE%D0%BC%D0%B0%D0%BD%D1%82.jpg	Neuromancer	Публикация романа «Нейромант» Уильяма Гибсона	https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%B9%D1%80%D0%BE%D0%BC%D0%B0%D0%BD%D1%82
1984-09-26	https://en.wikipedia.org/wiki/The_Terminator	https://upload.wikimedia.org/wikipedia/ru/c/ca/Terminator_poster.jpg	The Terminator	Премьера фильма «Терминатор»	https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D1%82%D0%BE%D1%80_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
1984-11-20	https://en.wikipedia.org/wiki/Microsoft_Windows	https://upload.wikimedia.org/wikipedia/commons/5/59/Windows_1.01_Bootscreen_20201222_EN.png	Microsoft Windows	Анонс операционной системы Microsoft Windows	https://ru.wikipedia.org/wiki/Microsoft_Windows
