date	url	image	title	lang
1991-06-25	https://en.wikipedia.org/wiki/Breakup_of_Yugoslavia		Начало распада Югославии (Словения и Хорватия объявили независимость)	ru	https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D0%BF%D0%B0%D0%B4_%D0%AE%D0%B3%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D0%B8
1991-08-20	https://en.wikipedia.org/wiki/Independence_of_Estonia	https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg	Восстановление независимости Эстонии	ru	https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%B7%D0%B0%D0%BB%D0%B5%D0%B6%D0%BD%D1%96%D1%81%D1%82%D1%8C_%D0%95%D1%81%D1%82%D0%BE%D0%BD%D1%96%D1%97
1991-08-21	https://en.wikipedia.org/wiki/Latvia		Восстановление независимости Латвии	ru	https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D1%82%D0%B2%D0%B8%D1%8F
1991-08-24	https://en.wikipedia.org/wiki/Declaration_of_Independence_of_Ukraine		Провозглашение независимости Украины	ru	https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%82_%D0%BF%D1%80%D0%BE%D0%B3%D0%BE%D0%BB%D0%BE%D1%88%D0%B5%D0%BD%D0%BD%D1%8F_%D0%BD%D0%B5%D0%B7%D0%B0%D0%BB%D0%B5%D0%B6%D0%BD%D0%BE%D1%81%D1%82%D1%96_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8
1991-08-25	https://en.wikipedia.org/wiki/Independence_of_Belarus	https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg	Провозглашение независимости Беларуси	ru	https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%B7%D0%B0%D0%BB%D0%B5%D0%B6%D0%BD%D1%96%D1%81%D1%82%D1%8C_%D0%91%D1%96%D0%BB%D0%BE%D1%80%D1%83%D1%81%D1%96
1991-08-27	https://en.wikipedia.org/wiki/Declaration_of_Independence_of_Moldova	https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg	Провозглашение независимости Молдовы	ru	https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D1%96%D1%8F_%D0%BF%D1%80%D0%BE_%D0%BD%D0%B5%D0%B7%D0%B0%D0%BB%D0%B5%D0%B6%D0%BD%D1%96%D1%81%D1%82%D1%8C_%D0%9C%D0%BE%D0%BB%D0%B4%D0%BE%D0%B2%D0%B8
1991-08-30	https://en.wikipedia.org/wiki/Declaration_of_Independence_of_Azerbaijan	https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg	Провозглашение независимости Азербайджана	ru	https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%82_%D0%BF%D1%80%D0%BE_%D0%B4%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D0%BD%D1%83_%D0%BD%D0%B5%D0%B7%D0%B0%D0%BB%D0%B5%D0%B6%D0%BD%D1%96%D1%81%D1%82%D1%8C_%D0%90%D0%B7%D0%B5%D1%80%D0%B1%D0%B0%D0%B9%D0%B4%D0%B6%D0%B0%D0%BD%D1%83
1991-08-31	https://en.wikipedia.org/wiki/Kyrgyzstan		Провозглашение независимости Кыргызстана	ru	https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%80%D0%B3%D0%B8%D0%B7%D0%B8%D1%8F
1991-09-09	https://en.wikipedia.org/wiki/Tajikistan		Провозглашение независимости Таджикистана	ru	https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B4%D0%B6%D0%B8%D0%BA%D0%B8%D1%81%D1%82%D0%B0%D0%BD
1991-09-24	https://en.wikipedia.org/wiki/Nevermind	https://upload.wikimedia.org/wikipedia/ru/b/b7/NirvanaNevermindalbumcover.jpg	Выход альбома Nirvana «Nevermind»	ru	https://ru.wikipedia.org/wiki/Nevermind
1991-12-16	https://en.wikipedia.org/wiki/On_the_State_Independence_of_the_Republic_of_Kazakhstan	https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg	Провозглашение независимости Казахстана	ru	https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BD%D1%8C_%D0%BD%D0%B5%D0%B7%D0%B0%D0%B2%D0%B8%D1%81%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D0%B8_%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD%D0%B0
1991-11-24	https://en.wikipedia.org/wiki/Freddie_Mercury		Умер Фредди Меркьюри	ru	https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%80%D0%BA%D1%8C%D1%8E%D1%80%D0%B8,_%D0%A4%D1%80%D0%B5%D0%B4%D0%B4%D0%B8
1991-01-13	https://en.wikipedia.org/wiki/January_Events_(Lithuania)	https://upload.wikimedia.org/wikipedia/commons/8/85/January_13_events_in_Vilnius_Lithuania.jpg	Январские события в Вильнюсе	ru	https://ru.wikipedia.org/wiki/%D0%AF%D0%BD%D0%B2%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BE%D0%B1%D1%8B%D1%82%D0%B8%D1%8F_%D0%B2_%D0%92%D0%B8%D0%BB%D1%8C%D0%BD%D1%8E%D1%81%D0%B5
