date	url	image	title	lang
2006-01-01	https://en.wikipedia.org/wiki/Dissolution_of_Serbia_and_Montenegro	https://upload.wikimedia.org/wikipedia/commons/a/ab/Serbia_and_Montenegro_%28detailed%29.png	Распад Государственного союза Сербии и Черногории	ru	https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D0%BF%D0%B0%D0%B4_%D0%A1%D0%B5%D1%80%D0%B1%D0%B8%D0%B8_%D0%B8_%D0%A7%D0%B5%D1%80%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D0%B8%D0%B8
2006-07-01	https://en.wikipedia.org/wiki/Twitter	https://upload.wikimedia.org/wikipedia/commons/6/6f/Logo_of_Twitter.svg	Запуск Twitter	ru	https://ru.wikipedia.org/wiki/Twitter
2006-07-12	https://en.wikipedia.org/wiki/2006_Lebanon_War		Начало Второй ливанской войны	ru	https://ru.wikipedia.org/wiki/%D0%92%D1%82%D0%BE%D1%80%D0%B0%D1%8F_%D0%9B%D0%B8%D0%B2%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
2006-10-09	https://en.wikipedia.org/wiki/2006_North_Korean_nuclear_test		Первое ядерное испытание КНДР	ru	https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%B5_%D1%8F%D0%B4%D0%B5%D1%80%D0%BD%D0%BE%D0%B5_%D0%B8%D1%81%D0%BF%D1%8B%D1%82%D0%B0%D0%BD%D0%B8%D0%B5_%D0%9A%D0%9D%D0%94%D0%A0
2006-12-30	https://en.wikipedia.org/wiki/Execution_of_Saddam_Hussein		Казнь Саддама Хусейна	ru	https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D0%BD%D1%8C_%D0%A1%D0%B0%D0%B4%D0%B4%D0%B0%D0%BC%D0%B0_%D0%A5%D1%83%D1%81%D0%B5%D0%B9%D0%BD%D0%B0





