date	en_url	image	en_title	ru_title	ru_url	
1989-03-29	https://en.wikipedia.org/wiki/61st_Academy_Awards		Rain Man wins Best Picture	Человек дождя получает Оскар за лучший фильм	https://ru.wikipedia.org/wiki/61-я_церемония_вручения_премии_«Оскар»
1989-05-23	https://en.wikipedia.org/wiki/Sex,_Lies,_and_Videotape		Sex, Lies, and Videotape wins Palme d'Or	Секс, ложь и видео получает Золотую пальмовую ветвь	https://ru.wikipedia.org/wiki/Секс,_ложь_и_видео
1989-06-23	https://en.wikipedia.org/wiki/Batman_(1989_film)		Batman premieres	Премьера фильма Бэтмен	https://ru.wikipedia.org/wiki/Бэтмен_(фильм,_1989)
1989-03-21	https://en.wikipedia.org/wiki/Like_a_Prayer_(album)		Like a Prayer released by Madonna	Выходит альбом Like a Prayer (Madonna)	https://ru.wikipedia.org/wiki/Like_a_Prayer
1989-04-17	https://en.wikipedia.org/wiki/Doolittle_(Pixies_album)		Doolittle released by Pixies	Выходит альбом Doolittle (Pixies)	https://ru.wikipedia.org/wiki/Doolittle
1989-05-02	https://en.wikipedia.org/wiki/Disintegration_(The_Cure_album)		Disintegration released by The Cure	Выходит альбом Disintegration (The Cure)	https://ru.wikipedia.org/wiki/Disintegration
1989-07-05	https://en.wikipedia.org/wiki/Seinfeld		Seinfeld premieres	Премьера сериала Сайнфелд	https://ru.wikipedia.org/wiki/Сайнфелд
1989-10-19	https://en.wikipedia.org/wiki/Camilo_José_Cela		Camilo José Cela awarded Nobel Prize in Literature	Камило Хосе Села получает Нобелевскую премию по литературе	https://ru.wikipedia.org/wiki/Села,_Камило_Хосе
1989-04-16	https://en.wikipedia.org/wiki/J._R._R._Tolkien		J. R. R. Tolkien dies	Умер Джон Рональд Руэл Толкин	https://ru.wikipedia.org/wiki/Толкин,_Джон_Рональд_Руэл
1988-04-11	https://en.wikipedia.org/wiki/The_Last_Emperor		The Last Emperor wins Best Picture	Последний император получает Оскар за лучший фильм	https://ru.wikipedia.org/wiki/Последний_император
1988-05-23	https://en.wikipedia.org/wiki/Pelle_the_Conqueror_(film)		Pelle the Conqueror wins Palme d'Or	Пелле-завоеватель получает Золотую пальмовую ветвь	https://ru.wikipedia.org/wiki/Пелле-завоеватель
1988-07-15	https://en.wikipedia.org/wiki/Die_Hard		Die Hard premieres	Премьера фильма Крепкий орешек	https://ru.wikipedia.org/wiki/Крепкий_орешек
1988-04-16	https://en.wikipedia.org/wiki/Grave_of_the_Fireflies		Grave of the Fireflies premieres	Премьера фильма Могила светлячков	https://ru.wikipedia.org/wiki/Могила_светлячков
1988-08-08	https://en.wikipedia.org/wiki/Straight_Outta_Compton		Straight Outta Compton released by N.W.A	Выходит альбом Straight Outta Compton (N.W.A)	https://ru.wikipedia.org/wiki/Straight_Outta_Compton
1988-05-08	https://en.wikipedia.org/wiki/Robert_A._Heinlein		Robert A. Heinlein dies	Умер Роберт Хайнлайн	https://ru.wikipedia.org/wiki/Хайнлайн,_Роберт
1988-12-06	https://en.wikipedia.org/wiki/Roy_Orbison		Roy Orbison dies	Умер Рой Орбисон	https://ru.wikipedia.org/wiki/Орбисон,_Рой
1988-10-13	https://en.wikipedia.org/wiki/Naguib_Mahfouz		Naguib Mahfouz awarded Nobel Prize in Literature	Нагиб Махфуз получает Нобелевскую премию по литературе	https://ru.wikipedia.org/wiki/Махфуз,_Нагиб
1987-03-30	https://en.wikipedia.org/wiki/Platoon_(film)		Platoon wins Best Picture	Взвод получает Оскар за лучший фильм	https://ru.wikipedia.org/wiki/Взвод_(фильм)
1987-05-23	https://en.wikipedia.org/wiki/Under_the_Sun_of_Satan_(film)		Under the Sun of Satan wins Palme d'Or	Под солнцем Сатаны получает Золотую пальмовую ветвь	https://ru.wikipedia.org/wiki/Под_солнцем_Сатаны
1987-06-26	https://en.wikipedia.org/wiki/Full_Metal_Jacket		Full Metal Jacket premieres	Премьера фильма Цельнометаллическая оболочка	https://ru.wikipedia.org/wiki/Цельнометаллическая_оболочка
1987-07-10	https://en.wikipedia.org/wiki/Robocop		RoboCop premieres	Премьера фильма Робокоп	https://ru.wikipedia.org/wiki/Робокоп
1987-09-18	https://en.wikipedia.org/wiki/Wall_Street_(1987_film)		Wall Street premieres	Премьера фильма Уолл-стрит	https://ru.wikipedia.org/wiki/Уолл-стрит_(фильм,_1987)
1987-03-02	https://en.wikipedia.org/wiki/U2		The Joshua Tree released by U2	Выходит альбом The Joshua Tree (U2)	https://ru.wikipedia.org/wiki/The_Joshua_Tree
1987-03-23	https://en.wikipedia.org/wiki/Sign_o%27_the_Times		Sign o' the Times released by Prince	Выходит альбом Sign o' the Times (Prince)	https://ru.wikipedia.org/wiki/Sign_o%E2%80%99_the_Times
1987-08-31	https://en.wikipedia.org/wiki/Appetite_for_Destruction		Appetite for Destruction released by Guns N' Roses	Выходит альбом Appetite for Destruction (Guns N' Roses)	https://ru.wikipedia.org/wiki/Appetite_for_Destruction
1987-10-05	https://en.wikipedia.org/wiki/Bad_(album)		Bad released by Michael Jackson	Выходит альбом Bad (Michael Jackson)	https://ru.wikipedia.org/wiki/Bad_(альбом)
1987-10-15	https://en.wikipedia.org/wiki/Joseph_Brodsky		Joseph Brodsky awarded Nobel Prize in Literature	Иосиф Бродский получает Нобелевскую премию по литературе	https://ru.wikipedia.org/wiki/Бродский,_Иосиф_Александрович
1986-03-24	https://en.wikipedia.org/wiki/Out_of_Africa_(film)		Out of Africa wins Best Picture	Из Африки получает Оскар за лучший фильм	https://ru.wikipedia.org/wiki/Из_Африки
1986-05-19	https://en.wikipedia.org/wiki/The_Mission_(1986_film)		The Mission wins Palme d'Or	Миссия получает Золотую пальмовую ветвь	https://ru.wikipedia.org/wiki/Миссия_(фильм,_1986)
1986-07-18	https://en.wikipedia.org/wiki/Aliens_(film)		Aliens premieres	Премьера фильма Чужие	https://ru.wikipedia.org/wiki/Чужие_(фильм,_1986)
1986-03-03	https://en.wikipedia.org/wiki/Master_of_Puppets		Master of Puppets released by Metallica	Выходит альбом Master of Puppets (Metallica)	https://ru.wikipedia.org/wiki/Master_of_Puppets
1986-05-16	https://en.wikipedia.org/wiki/True_Blue_(Madonna_album)		True Blue released by Madonna	Выходит альбом True Blue (Madonna)	https://ru.wikipedia.org/wiki/True_Blue
1986-09-29	https://en.wikipedia.org/wiki/The_Queen_Is_Dead		The Queen Is Dead released by The Smiths	Выходит альбом The Queen Is Dead (The Smiths)	https://ru.wikipedia.org/wiki/The_Queen_Is_Dead
1986-09-08	https://en.wikipedia.org/wiki/The_Oprah_Winfrey_Show		The Oprah Winfrey Show premieres	Премьера шоу Опры Уинфри	https://ru.wikipedia.org/wiki/The_Oprah_Winfrey_Show
1986-10-09	https://en.wikipedia.org/wiki/Wole_Soyinka		Wole Soyinka awarded Nobel Prize in Literature	Воле Шойинка получает Нобелевскую премию по литературе	https://ru.wikipedia.org/wiki/Шойинка,_Воле
1985-03-25	https://en.wikipedia.org/wiki/Amadeus_(film)		Amadeus wins Best Picture	Амадей получает Оскар за лучший фильм	https://ru.wikipedia.org/wiki/Амадей_(фильм)
1985-05-24	https://en.wikipedia.org/wiki/Papa_is_on_Trip		Papa is on a Business Trip wins Palme d'Or	Папа в командировке получает Золотую пальмовую ветвь	https://ru.wikipedia.org/wiki/Папа_в_командировке
1985-07-03	https://en.wikipedia.org/wiki/Back_to_the_Future		Back to the Future premieres	Премьера фильма Назад в будущее	https://ru.wikipedia.org/wiki/Назад_в_будущее
1985-05-13	https://en.wikipedia.org/wiki/Brothers_in_Arms_(album)		Brothers in Arms released by Dire Straits	Выходит альбом Brothers in Arms (Dire Straits)	https://ru.wikipedia.org/wiki/Brothers_in_Arms
1985-07-13	https://en.wikipedia.org/wiki/Live_Aid		Live Aid concert held	Концерт Live Aid	https://ru.wikipedia.org/wiki/Live_Aid
1985-10-17	https://en.wikipedia.org/wiki/Claude_Simon		Claude Simon awarded Nobel Prize in Literature	Клод Симон получает Нобелевскую премию по литературе	https://ru.wikipedia.org/wiki/Симон,_Клод
1984-04-09	https://en.wikipedia.org/wiki/Terms_of_Endearment		Terms of Endearment wins Best Picture	Язык нежности получает Оскар за лучший фильм	https://ru.wikipedia.org/wiki/Язык_нежности
1984-05-19	https://en.wikipedia.org/wiki/Paris,_Texas_(film)		Paris, Texas wins Palme d'Or	Париж, Техас получает Золотую пальмовую ветвь	https://ru.wikipedia.org/wiki/Париж,_Техас
1984-06-08	https://en.wikipedia.org/wiki/Ghostbusters		Ghostbusters premieres	Премьера фильма Охотники за привидениями	https://ru.wikipedia.org/wiki/Охотники_за_привидениями
1984-06-08	https://en.wikipedia.org/wiki/The_Karate_Kid		The Karate Kid premieres	Премьера фильма Парень-каратист	https://ru.wikipedia.org/wiki/Парень-каратист
1984-10-26	https://en.wikipedia.org/wiki/The_Terminator		The Terminator premieres	Премьера фильма Терминатор	https://ru.wikipedia.org/wiki/Терминатор
1984-06-25	https://en.wikipedia.org/wiki/Purple_Rain_(album)		Purple Rain released by Prince	Выходит альбом Purple Rain (Prince)	https://ru.wikipedia.org/wiki/Purple_Rain
1984-11-12	https://en.wikipedia.org/wiki/Like_a_Virgin		Like a Virgin released by Madonna	Выходит альбом Like a Virgin (Madonna)	https://ru.wikipedia.org/wiki/Like_a_Virgin
1984-11-25	https://en.wikipedia.org/wiki/Band_Aid_(band)		Do They Know It's Christmas? released	Выходит песня Do They Know It's Christmas?	https://ru.wikipedia.org/wiki/Do_They_Know_It%27s_Christmas%3F
