date	en_url	image	en_title	ru_title	ru_url	
2020-02-09	https://en.wikipedia.org/wiki/Parasite_(2019_film)		Film "Parasite" wins Best Picture at the Academy Awards	Фильм «Паразиты» получает «Оскар» за лучший фильм	https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B0%D0%B7%D0%B8%D1%82%D1%8B_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
2020-07-03	https://en.wikipedia.org/wiki/Hamilton_(film)	https://upload.wikimedia.org/wikipedia/en/8/83/Hamilton-poster.jpg	Release of filmed version of the musical "Hamilton" on Disney+	Премьера киноверсии мюзикла «Гамильтон» на Disney+	https://ru.wikipedia.org/wiki/Гамильтон_(мюзикл)
2020-07-24	https://en.wikipedia.org/wiki/Folklore_(Taylor_Swift_album)	https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png	Release of the album "Folklore" by Taylor Swift	Выход альбома «Folklore» Тейлор Свифт	https://ru.wikipedia.org/wiki/Folklore_(альбом_Тейлор_Свифт)
2020-04-19	https://en.wikipedia.org/wiki/The_Last_Dance_(miniseries)		Premiere of the documentary series "The Last Dance"	Премьера документального сериала «Последний танец»	https://ru.wikipedia.org/wiki/Последний_танец_(телесериал)
2020-10-23	https://en.wikipedia.org/wiki/The_Queen%27s_Gambit_(miniseries)	https://upload.wikimedia.org/wikipedia/ru/9/99/%D0%A5%D0%BE%D0%B4_%D0%BA%D0%BE%D1%80%D0%BE%D0%BB%D0%B5%D0%B2%D1%8B_%D0%BF%D0%BE%D1%81%D1%82%D0%B5%D1%80.jpg	Premiere of the Netflix series "The Queen's Gambit"	Премьера сериала Netflix «Ход королевы»	https://ru.wikipedia.org/wiki/Ход_королевы_(мини-сериал)
2019-02-24	https://en.wikipedia.org/wiki/Green_Book_(film)		Film "Green Book" wins Best Picture at the Academy Awards	Фильм «Зелёная книга» получает «Оскар» за лучший фильм	https://ru.wikipedia.org/wiki/Зелёная_книга_(фильм)
2019-05-25	https://en.wikipedia.org/wiki/Parasite_(2019_film)		Film "Parasite" wins the Palme d'Or at the Cannes Film Festival	Фильм «Паразиты» получает «Золотую пальмовую ветвь» Каннского кинофестиваля	https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B0%D0%B7%D0%B8%D1%82%D1%8B_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
2019-04-14	https://en.wikipedia.org/wiki/Game_of_Thrones_(season_8)		Premiere of the final season of the TV series "Game of Thrones"	Премьера финального сезона сериала «Игра престолов»	https://ru.wikipedia.org/wiki/Игра_престолов_(8-й_сезон)
2019-04-26	https://en.wikipedia.org/wiki/Avengers:_Endgame	https://upload.wikimedia.org/wikipedia/en/0/0d/Avengers_Endgame_poster.jpg	Premiere of the film "Avengers: Endgame"	Премьера фильма «Мстители: Финал»	https://ru.wikipedia.org/wiki/Мстители:_Финал
2019-06-05	https://en.wikipedia.org/wiki/Chernobyl_(miniseries)		Premiere of the HBO miniseries "Chernobyl"	Премьера мини-сериала HBO «Чернобыль»	https://ru.wikipedia.org/wiki/Чернобыль_(мини-сериал)
